"BRAND_NAME","REVIEW_CONTENT","REVIEW_RATING","REVIEWER_INFO","PURCHASE_TAG","REVIEW_ADDITIONAL_INFO","REVIEW_DATE","REVIEW_ID"
토니모리,"촉촉해서 너무 좋아용 가격도 저렴하고 용량도 많아서 넘 조음",5,,,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-05 00:00:00.000,261198529
토니모리,"몇년째 쓰는 토너 매일 이거만 사용하눈 것 같네요 잘 쓰자 피부야",5,,재구매,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""보통이에요""}",2025-01-05 00:00:00.000,261482761
토니모리,"가격이 저렴해서 샀는데 챱토하기 좋은 토너인 것 같아요 스킨팩도 종종 해주고..",5,"지성, 가을웜톤",한달이상사용,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-05 00:00:00.000,261552650
토니모리,"콧물 같은 에센스 제형에 가낍습니다. 보습감이 필요한 요즘 같은 건조한 겨울 날씨에는 괜찮은 듯 하네요. 하지만 여름에 쓰기에는 다소 무거울 수도 있을 것 같습니다.",3,,,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-03 00:00:00.000,258469228
토니모리,"모찌토너만 꾸준히 사용중이예요~ 보습력도 좋고, 대용향이라 가성비도 굿!",5,,재구매,"{""피부타입"":""건성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-02 00:00:00.000,257379995
토니모리,"가격도 너무 착하고 용량도 많아 자주 구입해요
지금계절에 딱입니다~ 아주 오래전부터 알고 사용했었는데 매장이 없어져서 잊고있다가 올리브영에서 보고 다시 구입해서 사용중이예요~ 복합성피부이지만 트러블없이 잘사용하고있어요",5,,재구매,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-05 00:00:00.000,261552652
토니모리,"한 세네 통은 꾸준히 쓴 거 같아요 가성비도 좋고 순하고 바르면 피부가 쫀쫀해져요",5,,,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-05 00:00:00.000,261552653
토니모리,"자극없이 순하고 촉촉해서 좋아용!!진정 보습이 되서 좋아욥",5,,한달이상사용,"{""피부타입"":""건성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-03 00:00:00.000,259103074
토니모리,"기대없이 사봤는데 너무 만족해요
복합성 예민한 피부인데 순하고 촉촉하더라구요
두번 정도 레이어링 하면 딱 좋아요
용량도 아주 넉넉하고 가격도 착해서 또 살거예요",5,,,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-05 00:00:00.000,261552654
토니모리,"가성비 짱 좋아요 가성비충은 여기로 정착힐래요ㅛ 순하고 화장도 잘 먹어요 지성인데 딱 수분만 채워줘서 좋아요!",4,,,"{""피부타입"":""건성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-02 00:00:00.000,257979241
토니모리,"모찌 토너 미쳤습니다
밤에 토너패드, 앰플, 수분크림 바르고 자도
다음 날 얼굴에 각질 겁나 올라왔는데
이거 쓰고 다음 날에 일어났는데
심지어 늦잠 자서 오후 3시에 일어났는데
각질이 하나도 없어요
화장도 잘 먹는 것 같고 볼따구가 지금 모찌 같아요
양도 많고 가격도 저렴하니까 꼭 사세요",5,"건성, 여름쿨톤, 각질, 다크서클",,"{""피부타입"":""건성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-03 00:00:00.000,258982599
토니모리,"하 너무너무 좋아요 특히 속건성 .. 근데 혹시 무향으로 내주실생각은 없으신지 ..？ ㅠㅠ",5,"지성, 여름쿨톤, 모공",,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""보통이에요""}",2025-01-03 00:00:00.000,258982827
토니모리,"그냥 닦토 필요했는데 맘에 드네용 ㅋㅋ 다음에도 근매해ㆍ겠습니당",5,"중성, 가을웜톤, 다크서클, 모공",,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""보통이에요""}",2025-01-03 00:00:00.000,258982927
토니모리,"예전에 닦토로 잘써서 재구매했었으나 모낭염이 올라와서 중단했네여요 ㅠ",5,,한달이상사용,"{""피부타입"":""건성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""보통이에요""}",2025-01-02 00:00:00.000,257979246
토니모리,"양이 많아서 일단 몇달은 더 사용할수 있을것 같아요 닦토할때도 제형이 묽고 순해서 편하구요 보습 필요할때 양 걱정 없이 막 쓸수 있어서 좋아요 건성은 토너 사용하고 다른 크림 더 발라줘야할것 같아요 기초케어제품으로 좋아요",5,"복합성, 봄웜톤, 다크서클, 미백",한달이상사용,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-04 00:00:00.000,260366707
토니모리,"대용량 굳 가성비 갑

조아요! 괜찮아요~ 만족해요~! 나중에 또 재구매 할께요~",5,,,"{""피부타입"":""복합성에 좋아요"",""피부고민"":""진정에 좋아요"",""자극도"":""보통이에요""}",2025-01-04 00:00:00.000,260366718
토니모리,"일단은 겨울이여서 수분 부족 지성으로서 꽤나 건조해서 화장이 뜨고 난리나서 보습에 좋다길래 사봤는데 가격도 싸고 보습도 좋고 피부가 예민할 때도 순해서 사용하기가 좋았던 제품이여서 저는 겨울에 수부지나 건성이 사용하기 좋다고 생각해요. 근데 지성은 잘 모르겠네요!",5,,한달이상사용,"{""피부타입"":""건성에 좋아요"",""피부고민"":""보습에 좋아요"",""자극도"":""자극없이 순해요""}",2025-01-01 00:00:00.000,255808855
